iter	Passed	Remaining
558	7831	6178
559	7845	6164
560	7860	6150
561	7873	6135
562	7885	6120
563	7898	6105
564	7910	6090
565	7921	6074
566	7933	6058
567	7944	6042
568	7955	6026
569	7968	6011
570	7979	5994
571	7990	5979
572	8001	5962
573	8012	5946
574	8025	5931
575	8037	5916
576	8051	5902
577	8064	5887
578	8075	5871
579	8089	5857
580	8101	5842
581	8115	5828
582	8129	5814
583	8143	5800
584	8156	5785
585	8170	5772
586	8183	5758
587	8196	5742
588	8210	5728
589	8222	5713
590	8237	5700
591	8250	5686
592	8264	5672
593	8275	5656
594	8287	5641
595	8299	5625
596	8311	5610
597	8322	5594
598	8334	5579
599	8345	5563
600	8362	5551
601	8377	5538
602	8390	5523
603	8401	5508
604	8413	5492
605	8424	5477
606	8435	5461
607	8446	5445
608	8457	5430
609	8468	5414
610	8481	5399
611	8492	5383
612	8505	5369
613	8516	5353
614	8528	5338
615	8539	5323
616	8550	5307
617	8562	5292
618	8573	5277
619	8585	5262
620	8597	5246
621	8608	5231
622	8621	5217
623	8635	5203
624	8647	5188
625	8659	5173
626	8670	5158
627	8682	5143
628	8694	5128
629	8708	5114
630	8721	5100
631	8734	5085
632	8745	5070
633	8757	5055
634	8770	5041
635	8782	5026
636	8794	5011
637	8805	4996
638	8817	4981
639	8830	4966
640	8841	4951
641	8853	4937
642	8866	4922
643	8880	4908
644	8892	4894
645	8904	4879
646	8918	4865
647	8929	4850
648	8943	4836
649	8956	4822
650	8971	4809
651	8986	4796
652	9000	4782
653	9016	4769
654	9030	4756
655	9043	4742
656	9058	4729
657	9072	4715
658	9086	4701
659	9100	4688
660	9114	4674
661	9126	4659
662	9138	4645
663	9149	4630
664	9160	4614
665	9173	4600
666	9184	4585
667	9195	4570
668	9206	4554
669	9218	4540
670	9230	4525
671	9241	4510
672	9251	4495
673	9263	4480
674	9273	4465
675	9284	4450
676	9295	4434
677	9307	4420
678	9320	4406
679	9331	4391
680	9343	4376
681	9355	4362
682	9368	4348
683	9382	4334
684	9396	4321
685	9407	4306
686	9418	4291
687	9430	4276
688	9441	4261
689	9453	4247
690	9463	4231
691	9474	4217
692	9486	4202
693	9498	4188
694	9512	4174
695	9527	4161
696	9539	4147
697	9550	4132
698	9562	4117
699	9573	4103
700	9585	4088
701	9596	4073
702	9608	4059
703	9618	4044
704	9628	4029
705	9639	4014
706	9650	3999
707	9660	3984
708	9671	3969
709	9681	3954
710	9692	3939
711	9704	3925
712	9715	3910
713	9725	3895
714	9735	3880
715	9746	3865
716	9756	3850
717	9767	3836
718	9777	3821
719	9788	3806
720	9799	3791
721	9810	3777
722	9824	3764
723	9835	3749
724	9846	3734
725	9859	3720
726	9872	3707
727	9882	3692
728	9895	3678
729	9906	3663
730	9918	3650
731	9930	3635
732	9941	3621
733	9952	3606
734	9968	3594
735	9980	3580
736	9991	3565
737	10003	3551
738	10015	3537
739	10027	3523
740	10038	3508
741	10050	3494
742	10061	3480
743	10072	3465
744	10083	3451
745	10094	3437
746	10106	3422
747	10117	3408
748	10128	3394
749	10138	3379
750	10149	3365
751	10160	3350
752	10171	3336
753	10182	3322
754	10193	3307
755	10204	3293
756	10215	3279
757	10225	3264
758	10235	3250
759	10246	3235
760	10256	3221
761	10267	3206
762	10277	3192
763	10287	3177
764	10298	3163
765	10309	3149
766	10319	3134
767	10330	3120
768	10341	3106
769	10352	3092
770	10364	3078
771	10375	3064
772	10385	3049
773	10395	3035
774	10409	3022
775	10421	3008
776	10434	2994
777	10445	2980
778	10456	2966
779	10466	2952
780	10479	2938
